,DY_Mes,LTV,Percentual_Vacancia,Percentual_Inadimplencia,beta_CDI,beta_IPCA,beta_IMAB,P_VPA
FVPQ11.SA,0.0,0.0016427391061865,0.103933,0.1065,0.0492594196681629,-0.0072988808849753,0.0147581843971412,0.7518311471105954
ABCP11.SA,0.005895,0.0073228371405746,0.01219,0.006539,0.0364821154602496,-0.006657479570785,0.0077917410216871,0.702552348017781
FTCE11.SA,0.011298,0.2002878226828021,0.3612830554563369,0.0,0.0002759709910324,0.0070044580882324,6.187745216160637e-05,0.9965468945902856
FMOF11.SA,0.031096,0.0462057869278809,0.0417,0.0,0.0393126375752587,0.0026945469433934,0.0091358275802874,0.7882030299497758
FPAB11.SA,0.004388,0.0343592567408483,0.23611729552035,0.0,0.0491726304241122,-0.0284832423958686,0.0120349856208383,0.5570445825934054
SHPH11.SA,0.003457,0.0050052864267458,0.005464,0.016632,0.0263908971960655,0.0309201895039661,0.0070792509591935,0.8936648105403777
RCRB11.SA,0.00477,0.114576246367583,0.0095092025895402,0.0,0.0316658285622136,-0.01783956307839,0.0120171439509862,0.6863790881088901
HCRI11.SA,0.007222,0.0139106599921827,0.0,0.0,0.0346466292533193,-0.045292292147128,0.0023835768930365,1.0045960893941344
FLMA11.SA,0.005293,0.0145899324649871,7.964354320271862e-06,0.0625,0.0441637209379201,-0.0177641363880822,0.0070149362213303,0.6182970595838457
EURO11.SA,0.006307,0.0290742777292051,0.0,0.0,0.0293289341837215,-0.0065642249959294,0.0116148821312276,0.7379007881672299
EDFO11.SA,0.0042,0.0059309465923322,0.2088746525416651,0.0,0.0169794265743011,-0.0255518325234647,0.0065004134664033,0.6002049582221719
ALMI11.SA,0.002393,0.024885023276974,0.468,0.42349676514148,0.0127778693469768,-0.0127137915696666,0.0040609856135437,0.2828980279407393
SHDP11.SA,0.031497,0.0372195497428863,0.0,0.0,0.0069281457964088,-0.0005714071102843,6.455925415416069e-05,0.6674265990703635
ANCR11.SA,0.012673,0.0688580330557191,0.042123150895781,0.9318356265018184,0.1031162430323734,-0.0284874015196232,0.0165628594828851,2.7632969349039134
NSLU11.SA,0.008509,0.0016193449450973,0.0,0.0,0.0500300736806816,-0.0612296633164638,-0.0017337126219751,1.106466604746298
HGBS11.SA,0.007359,0.1893755351697462,0.0388829847222827,0.0198689250380097,0.0418704570845681,0.0023906095096048,0.00831753529997,0.9333271994295173
VERE11.SA,0.01156589,0.0117713890303043,0.2836841129328916,0.0345666666666666,0.0140556565569852,-0.0167482356139482,-0.0024793710996472,0.8154396139272683
HUSC11.SA,0.006998,0.0088744913143088,0.0,0.0,0.0303317168341924,-0.0162568793172435,0.0060020497008909,0.4862547732824742
